fecha,sede_id,sede,codigo_producto,producto,unidades_vendidas,precio_compra,precio_venta,venta_total,costo_total,ganancia
2026-05-01T10:25:00,1,Sede Principal,DEMO-SOP-12,Sopa del Dia,2,4700.00,12800.00,25600.00,9400.00,16200.00
2026-05-01T10:25:00,1,Sede Principal,DEMO-QUE-16,Cheesecake,3,6400.00,15400.00,46200.00,19200.00,27000.00
2026-05-01T10:25:00,1,Sede Principal,DEMO-LIM-04,Limonada,4,2500.00,7200.00,28800.00,10000.00,18800.00
2026-05-01T10:31:00,1,Sede Principal,DEMO-PAP-10,Papas Rusticas,4,6100.00,14800.00,59200.00,24400.00,34800.00
2026-05-01T10:31:00,1,Sede Principal,DEMO-FLA-14,Flan de Caramelo,1,3600.00,9800.00,9800.00,3600.00,6200.00
2026-05-01T10:31:00,1,Sede Principal,DEMO-CAP-02,Capuchino,2,2800.00,7800.00,15600.00,5600.00,10000.00
2026-05-01T12:36:00,1,Sede Principal,DEMO-CAF-01,Cafe Americano,3,1800.00,5200.00,15600.00,5400.00,10200.00
2026-05-01T12:36:00,1,Sede Principal,DEMO-HAM-05,Hamburguesa Ruta,4,12600.00,28500.00,114000.00,50400.00,63600.00
2026-05-01T12:36:00,1,Sede Principal,DEMO-EMP-09,Empanadas Mixtas,1,5200.00,13200.00,13200.00,5200.00,8000.00
2026-05-01T12:36:00,1,Sede Principal,DEMO-BRO-13,Brownie con Helado,2,5600.00,14200.00,28400.00,11200.00,17200.00
2026-05-01T12:42:00,1,Sede Principal,DEMO-TIR-15,Tiramisu,1,7100.00,16800.00,16800.00,7100.00,9700.00
2026-05-01T12:42:00,1,Sede Principal,DEMO-JUG-03,Jugo Natural,2,3100.00,8600.00,17200.00,6200.00,11000.00
2026-05-01T12:42:00,1,Sede Principal,DEMO-POL-07,Pollo Grillado,3,14300.00,31200.00,93600.00,42900.00,50700.00
2026-05-01T12:42:00,1,Sede Principal,DEMO-ALA-11,Alitas BBQ,4,9800.00,22600.00,90400.00,39200.00,51200.00
2026-05-01T14:47:00,1,Sede Principal,DEMO-PAS-06,Pasta Alfredo,4,11200.00,26800.00,107200.00,44800.00,62400.00
2026-05-01T14:47:00,1,Sede Principal,DEMO-PAP-10,Papas Rusticas,1,6100.00,14800.00,14800.00,6100.00,8700.00
